estimator,att,se,t_stat,p_val,ci_low,ci_high,n_gt_pairs,att_pct,significance
TWFE,-0.0092379511838073,0.0020082111758774027,-4.6000895198539915,2.9102126678060003e-05,-0.01317404508852701,-0.005301857279087592,,-0.92379511838073,***
CS-2021 (equal weights),-0.013205005714348286,0.00667652171829846,-1.9778271188959209,0.047948213041399734,-0.026290988282213268,-0.000119023146483304,84.0,-1.3205005714348286,**
CS-2021 (sample weights),-0.015890164223635445,0.004833474856030623,-3.2875239236653164,0.0010107260097038662,-0.025363774941455468,-0.0064165535058154245,84.0,-1.5890164223635446,***
Sun-Abraham (2021),0.002368248886642176,0.0012385648498859081,1.9120911487681327,0.05586450395114251,-5.93382191342042e-05,0.004795835992418555,,0.23682488866421758,*
