,low_wage_emp,ln_emp,min_wage,ln_min_wage,unemp_rate,treated,post,did
count,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0
mean,226.87303921568628,4.947226346231574,9.71344537815126,2.2397763735058214,4.698956825196878,0.5882352941176471,0.4173669467787115,0.4173669467787115
std,260.24681419209287,0.9799705324903932,2.609866064586502,0.255796562535051,2.2199321094065816,0.4923253698069546,0.49329725947824926,0.49329725947824926
min,15.9,2.766319109226186,7.25,1.9810014688665833,1.469562900273565,0.0,0.0,0.0
25%,66.475,4.196820619874168,7.25,1.9810014688665833,3.30305213941008,0.0,0.0,0.0
50%,152.3,5.025851397656357,9.0,2.1972245773362196,4.314395324141373,1.0,0.0,0.0
75%,264.45,5.577651715277189,11.75,2.463853240590168,5.171114304194371,1.0,1.0,1.0
max,1573.8,7.361248356100883,17.0,2.833213344056216,15.054987406708566,1.0,1.0,1.0
