threshold,min_wage_threshold,n_treated_states,att,se,t_stat,p_val
0.5,7.75,31,-0.006961775616747069,0.006954128903301117,-1.0010995932851234,0.3215990733003862
1.0,8.25,31,-0.006909147647874752,0.0029138643554940543,-2.371128784649032,0.021627847305029313
1.5,8.75,30,-0.005658533182325478,0.0024863406215191943,-2.2758479402826244,0.027173084169506367
2.0,9.25,30,-0.0063871490266791614,0.002247788001880147,-2.8415264345822084,0.0064810118297800035
2.5,9.75,30,-0.007531771466964977,0.0021757049725383048,-3.4617613886215333,0.0011081525033331818
3.0,10.25,30,-0.009354391476589823,0.0020411734809397514,-4.582849798873089,3.0841061855912955e-05
