event_time,att,se,ci_low,ci_high,n_cohorts
-6,-0.0016209430172608563,0.00595322135519096,-0.013289256873435136,0.010047370838913425,5
-5,0.005876038059617094,0.00686070237017219,-0.007570938585920398,0.019323014705154587,5
-4,0.0038361144479982143,0.007948735428693631,-0.011743406992241303,0.01941563588823773,6
-3,-0.0007292694229775373,0.0047196398495685295,-0.009979763528131855,0.00852122468217678,6
-2,0.0018797189013864586,0.004892820827367598,-0.007710209920254034,0.011469647723026952,6
-1,0.0,0.0,0.0,0.0,6
0,-0.0048255652612903726,0.00732438526018742,-0.019181360371257717,0.00953022984867697,6
1,-0.00116291547780345,0.004840981440177179,-0.01065123910055072,0.00832540814494382,6
2,-0.0029473611361850636,0.008590980015982588,-0.019785681967510935,0.013890959695140809,6
3,-0.011130557908702507,0.009365782862082334,-0.02948749231838388,0.007226376500978867,6
4,-0.006512993652216093,0.003047925597827864,-0.012486927823958705,-0.0005390594804734793,5
5,-0.012731905753522099,0.006724613004962348,-0.0259121472432483,0.000448335736204104,5
6,-0.0076240430787905215,0.005745800274374561,-0.018885811616564663,0.003637725458983618,5
7,-0.017457729474977056,0.004372058949927387,-0.026026965016834734,-0.008888493933119378,5
8,-0.010519052614254565,0.007419519363568638,-0.025061310566849095,0.004023205338339966,4
